exp_name,gan_type,p_increment,epoch,class,ap,noccur,map
results_retinanet50_both_30,both,30,46,person,0.7057764531456754,5779.0,0.6732596513866902
results_retinanet50_both_30,both,30,46,bicycle,0.5250873565501621,471.0,0.6732596513866902
results_retinanet50_both_30,both,30,46,car,0.7889151444642328,5432.0,0.6732596513866902
results_retinanet50_both_30,both,30,20,person,0.7125303031466461,5779.0,0.6711252868194123
results_retinanet50_both_30,both,30,20,bicycle,0.5004858213894499,471.0,0.6711252868194123
results_retinanet50_both_30,both,30,20,car,0.8003597359221413,5432.0,0.6711252868194123
results_retinanet50_both_30,both,30,37,person,0.7029592815262813,5779.0,0.6935980889088817
results_retinanet50_both_30,both,30,37,bicycle,0.5819260585781131,471.0,0.6935980889088817
results_retinanet50_both_30,both,30,37,car,0.795908926622251,5432.0,0.6935980889088817
results_retinanet50_both_30,both,30,41,person,0.7264831578959915,5779.0,0.6949627715383078
results_retinanet50_both_30,both,30,41,bicycle,0.5672901475010449,471.0,0.6949627715383078
results_retinanet50_both_30,both,30,41,car,0.7911150092178869,5432.0,0.6949627715383078
results_retinanet50_both_30,both,30,10,person,0.736664577744524,5779.0,0.7074122140934959
results_retinanet50_both_30,both,30,10,bicycle,0.5739446154811774,471.0,0.7074122140934959
results_retinanet50_both_30,both,30,10,car,0.8116274490547859,5432.0,0.7074122140934959
results_retinanet50_both_30,both,30,0,person,0.4934129826562509,5779.0,0.5144733353896355
results_retinanet50_both_30,both,30,0,bicycle,0.35543476886287406,471.0,0.5144733353896355
results_retinanet50_both_30,both,30,0,car,0.6945722546497816,5432.0,0.5144733353896355
results_retinanet50_both_30,both,30,44,person,0.7195514135332419,5779.0,0.6849469827141613
results_retinanet50_both_30,both,30,44,bicycle,0.549671847714588,471.0,0.6849469827141613
results_retinanet50_both_30,both,30,44,car,0.7856176868946545,5432.0,0.6849469827141613
results_retinanet50_both_30,both,30,42,person,0.7131185705754193,5779.0,0.6812524471009492
results_retinanet50_both_30,both,30,42,bicycle,0.5441683671092541,471.0,0.6812524471009492
results_retinanet50_both_30,both,30,42,car,0.786470403618174,5432.0,0.6812524471009492
results_retinanet50_both_30,both,30,45,person,0.7093303313207757,5779.0,0.6873646330919289
results_retinanet50_both_30,both,30,45,bicycle,0.5584831485018652,471.0,0.6873646330919289
results_retinanet50_both_30,both,30,45,car,0.7942804194531456,5432.0,0.6873646330919289
results_retinanet50_both_30,both,30,48,person,0.7214758206203109,5779.0,0.6863249007392939
results_retinanet50_both_30,both,30,48,bicycle,0.5565095965994449,471.0,0.6863249007392939
results_retinanet50_both_30,both,30,48,car,0.7809892849981259,5432.0,0.6863249007392939
results_retinanet50_both_30,both,30,49,person,0.7082081840859522,5779.0,0.6781459411717319
results_retinanet50_both_30,both,30,49,bicycle,0.5500630381768783,471.0,0.6781459411717319
results_retinanet50_both_30,both,30,49,car,0.7761666012523651,5432.0,0.6781459411717319
results_retinanet50_both_30,both,30,47,person,0.720352412338847,5779.0,0.6857731516847081
results_retinanet50_both_30,both,30,47,bicycle,0.5545827868820395,471.0,0.6857731516847081
results_retinanet50_both_30,both,30,47,car,0.7823842558332378,5432.0,0.6857731516847081
results_retinanet50_both_30,both,30,38,person,0.7291562517079879,5779.0,0.6916809884905254
results_retinanet50_both_30,both,30,38,bicycle,0.5568204734102888,471.0,0.6916809884905254
results_retinanet50_both_30,both,30,38,car,0.7890662403532993,5432.0,0.6916809884905254
results_retinanet50_both_30,both,30,40,person,0.7220038779379685,5779.0,0.6801240661265832
results_retinanet50_both_30,both,30,40,bicycle,0.5289758057713134,471.0,0.6801240661265832
results_retinanet50_both_30,both,30,40,car,0.7893925146704674,5432.0,0.6801240661265832
results_retinanet50_both_30,both,30,43,person,0.7203159521803411,5779.0,0.6878094389641523
results_retinanet50_both_30,both,30,43,bicycle,0.5563585876452637,471.0,0.6878094389641523
results_retinanet50_both_30,both,30,43,car,0.786753777066852,5432.0,0.6878094389641523
results_retinanet50_both_30,both,30,30,person,0.7243257112369215,5779.0,0.6941578708904642
results_retinanet50_both_30,both,30,30,bicycle,0.5600447052372403,471.0,0.6941578708904642
results_retinanet50_both_30,both,30,30,car,0.7981031961972306,5432.0,0.6941578708904642
results_retinanet50_both_30,both,30,39,person,0.7115929300635805,5779.0,0.6829531870195183
results_retinanet50_both_30,both,30,39,bicycle,0.5435965724874738,471.0,0.6829531870195183
results_retinanet50_both_30,both,30,39,car,0.7936700585075007,5432.0,0.6829531870195183
results_retinanet50_both_30,both,30,36,person,0.7227640889128458,5779.0,0.6837270247957076
results_retinanet50_both_30,both,30,36,bicycle,0.5405493462672757,471.0,0.6837270247957076
results_retinanet50_both_30,both,30,36,car,0.7878676392070016,5432.0,0.6837270247957076
results_retinanet50_both_20,both,20,46,person,0.7167795070851906,5779.0,0.692520316177576
results_retinanet50_both_20,both,20,46,bicycle,0.5697271887757431,471.0,0.692520316177576
results_retinanet50_both_20,both,20,46,car,0.7910542526717945,5432.0,0.692520316177576
results_retinanet50_both_20,both,20,20,person,0.7310591222897043,5779.0,0.6961990510499917
results_retinanet50_both_20,both,20,20,bicycle,0.5563793516998754,471.0,0.6961990510499917
results_retinanet50_both_20,both,20,20,car,0.8011586791603954,5432.0,0.6961990510499917
results_retinanet50_both_20,both,20,37,person,0.7242669535158401,5779.0,0.6902782290788646
results_retinanet50_both_20,both,20,37,bicycle,0.5521138504384668,471.0,0.6902782290788646
results_retinanet50_both_20,both,20,37,car,0.7944538832822869,5432.0,0.6902782290788646
results_retinanet50_both_20,both,20,41,person,0.7181798731359046,5779.0,0.6955026810595856
results_retinanet50_both_20,both,20,41,bicycle,0.5731389868102121,471.0,0.6955026810595856
results_retinanet50_both_20,both,20,41,car,0.7951891832326401,5432.0,0.6955026810595856
results_retinanet50_both_20,both,20,10,person,0.7187140729480842,5779.0,0.7016978632706893
results_retinanet50_both_20,both,20,10,bicycle,0.5783971193462354,471.0,0.7016978632706893
results_retinanet50_both_20,both,20,10,car,0.8079823975177478,5432.0,0.7016978632706893
results_retinanet50_both_20,both,20,0,person,0.49467108489501654,5779.0,0.4847188995169886
results_retinanet50_both_20,both,20,0,bicycle,0.2624774410577545,471.0,0.4847188995169886
results_retinanet50_both_20,both,20,0,car,0.6970081725981947,5432.0,0.4847188995169886
results_retinanet50_both_20,both,20,44,person,0.71253831870067,5779.0,0.693870932210368
results_retinanet50_both_20,both,20,44,bicycle,0.5801257812531638,471.0,0.693870932210368
results_retinanet50_both_20,both,20,44,car,0.7889486966772699,5432.0,0.693870932210368
results_retinanet50_both_20,both,20,42,person,0.7086611067294069,5779.0,0.6854590171410045
results_retinanet50_both_20,both,20,42,bicycle,0.5525037524257999,471.0,0.6854590171410045
results_retinanet50_both_20,both,20,42,car,0.7952121922678068,5432.0,0.6854590171410045
results_retinanet50_both_20,both,20,45,person,0.7124523723358471,5779.0,0.6852733009910272
results_retinanet50_both_20,both,20,45,bicycle,0.5536959571953628,471.0,0.6852733009910272
results_retinanet50_both_20,both,20,45,car,0.789671573441872,5432.0,0.6852733009910272
results_retinanet50_both_20,both,20,48,person,0.7161653754242524,5779.0,0.6853486985117699
results_retinanet50_both_20,both,20,48,bicycle,0.5474195061757792,471.0,0.6853486985117699
results_retinanet50_both_20,both,20,48,car,0.7924612139352782,5432.0,0.6853486985117699
results_retinanet50_both_20,both,20,49,person,0.7128861059470254,5779.0,0.6967980973423505
results_retinanet50_both_20,both,20,49,bicycle,0.5952669572120873,471.0,0.6967980973423505
results_retinanet50_both_20,both,20,49,car,0.7822412288679389,5432.0,0.6967980973423505
results_retinanet50_both_20,both,20,47,person,0.7123259993170421,5779.0,0.688057888807098
results_retinanet50_both_20,both,20,47,bicycle,0.5663587819741547,471.0,0.688057888807098
results_retinanet50_both_20,both,20,47,car,0.7854888851300973,5432.0,0.688057888807098
